imagePath,Ysub,Ybasic,A,V,OriginalID
clean/bird/bird_clean_00001.png,bird,animal,air,clean,bird_00001
blur/bird/bird_blur_00001.png,bird,animal,air,blur,bird_00001
pixelated/bird/bird_pixelated_00001.png,bird,animal,air,pixelated,bird_00001
noise/bird/bird_noise_00001.png,bird,animal,air,noise,bird_00001
clean/cat/cat_clean_00001.png,cat,animal,land,clean,cat_00002
blur/cat/cat_blur_00001.png,cat,animal,land,blur,cat_00002
pixelated/cat/cat_pixelated_00001.png,cat,animal,land,pixelated,cat_00002
noise/cat/cat_noise_00001.png,cat,animal,land,noise,cat_00002
clean/frog/frog_clean_00001.png,frog,animal,land,clean,frog_00003
blur/frog/frog_blur_00001.png,frog,animal,land,blur,frog_00003
pixelated/frog/frog_pixelated_00001.png,frog,animal,land,pixelated,frog_00003
noise/frog/frog_noise_00001.png,frog,animal,land,noise,frog_00003
clean/airplane/airplane_clean_00001.png,airplane,vehicle,air,clean,airplane_00004
blur/airplane/airplane_blur_00001.png,airplane,vehicle,air,blur,airplane_00004
pixelated/airplane/airplane_pixelated_00001.png,airplane,vehicle,air,pixelated,airplane_00004
noise/airplane/airplane_noise_00001.png,airplane,vehicle,air,noise,airplane_00004
clean/truck/truck_clean_00001.png,truck,vehicle,land,clean,truck_00005
blur/truck/truck_blur_00001.png,truck,vehicle,land,blur,truck_00005
pixelated/truck/truck_pixelated_00001.png,truck,vehicle,land,pixelated,truck_00005
noise/truck/truck_noise_00001.png,truck,vehicle,land,noise,truck_00005
clean/horse/horse_clean_00001.png,horse,animal,land,clean,horse_00006
blur/horse/horse_blur_00001.png,horse,animal,land,blur,horse_00006
pixelated/horse/horse_pixelated_00001.png,horse,animal,land,pixelated,horse_00006
noise/horse/horse_noise_00001.png,horse,animal,land,noise,horse_00006
clean/horse/horse_clean_00002.png,horse,animal,land,clean,horse_00007
blur/horse/horse_blur_00002.png,horse,animal,land,blur,horse_00007
pixelated/horse/horse_pixelated_00002.png,horse,animal,land,pixelated,horse_00007
noise/horse/horse_noise_00002.png,horse,animal,land,noise,horse_00007
clean/automobile/automobile_clean_00001.png,automobile,vehicle,land,clean,automobile_00008
blur/automobile/automobile_blur_00001.png,automobile,vehicle,land,blur,automobile_00008
pixelated/automobile/automobile_pixelated_00001.png,automobile,vehicle,land,pixelated,automobile_00008
noise/automobile/automobile_noise_00001.png,automobile,vehicle,land,noise,automobile_00008
clean/automobile/automobile_clean_00002.png,automobile,vehicle,land,clean,automobile_00009
blur/automobile/automobile_blur_00002.png,automobile,vehicle,land,blur,automobile_00009
pixelated/automobile/automobile_pixelated_00002.png,automobile,vehicle,land,pixelated,automobile_00009
noise/automobile/automobile_noise_00002.png,automobile,vehicle,land,noise,automobile_00009
clean/ship/ship_clean_00001.png,ship,vehicle,water,clean,ship_00010
blur/ship/ship_blur_00001.png,ship,vehicle,water,blur,ship_00010
pixelated/ship/ship_pixelated_00001.png,ship,vehicle,water,pixelated,ship_00010
noise/ship/ship_noise_00001.png,ship,vehicle,water,noise,ship_00010
clean/bird/bird_clean_00002.png,bird,animal,air,clean,bird_00011
blur/bird/bird_blur_00002.png,bird,animal,air,blur,bird_00011
pixelated/bird/bird_pixelated_00002.png,bird,animal,air,pixelated,bird_00011
noise/bird/bird_noise_00002.png,bird,animal,air,noise,bird_00011
clean/airplane/airplane_clean_00002.png,airplane,vehicle,air,clean,airplane_00012
blur/airplane/airplane_blur_00002.png,airplane,vehicle,air,blur,airplane_00012
pixelated/airplane/airplane_pixelated_00002.png,airplane,vehicle,air,pixelated,airplane_00012
noise/airplane/airplane_noise_00002.png,airplane,vehicle,air,noise,airplane_00012
clean/horse/horse_clean_00003.png,horse,animal,land,clean,horse_00013
blur/horse/horse_blur_00003.png,horse,animal,land,blur,horse_00013
pixelated/horse/horse_pixelated_00003.png,horse,animal,land,pixelated,horse_00013
noise/horse/horse_noise_00003.png,horse,animal,land,noise,horse_00013
clean/truck/truck_clean_00002.png,truck,vehicle,land,clean,truck_00014
blur/truck/truck_blur_00002.png,truck,vehicle,land,blur,truck_00014
pixelated/truck/truck_pixelated_00002.png,truck,vehicle,land,pixelated,truck_00014
noise/truck/truck_noise_00002.png,truck,vehicle,land,noise,truck_00014
clean/airplane/airplane_clean_00003.png,airplane,vehicle,air,clean,airplane_00015
blur/airplane/airplane_blur_00003.png,airplane,vehicle,air,blur,airplane_00015
pixelated/airplane/airplane_pixelated_00003.png,airplane,vehicle,air,pixelated,airplane_00015
noise/airplane/airplane_noise_00003.png,airplane,vehicle,air,noise,airplane_00015
clean/frog/frog_clean_00002.png,frog,animal,land,clean,frog_00016
blur/frog/frog_blur_00002.png,frog,animal,land,blur,frog_00016
pixelated/frog/frog_pixelated_00002.png,frog,animal,land,pixelated,frog_00016
noise/frog/frog_noise_00002.png,frog,animal,land,noise,frog_00016
clean/ship/ship_clean_00002.png,ship,vehicle,water,clean,ship_00017
blur/ship/ship_blur_00002.png,ship,vehicle,water,blur,ship_00017
pixelated/ship/ship_pixelated_00002.png,ship,vehicle,water,pixelated,ship_00017
noise/ship/ship_noise_00002.png,ship,vehicle,water,noise,ship_00017
clean/airplane/airplane_clean_00004.png,airplane,vehicle,air,clean,airplane_00018
blur/airplane/airplane_blur_00004.png,airplane,vehicle,air,blur,airplane_00018
pixelated/airplane/airplane_pixelated_00004.png,airplane,vehicle,air,pixelated,airplane_00018
noise/airplane/airplane_noise_00004.png,airplane,vehicle,air,noise,airplane_00018
clean/airplane/airplane_clean_00005.png,airplane,vehicle,air,clean,airplane_00019
blur/airplane/airplane_blur_00005.png,airplane,vehicle,air,blur,airplane_00019
pixelated/airplane/airplane_pixelated_00005.png,airplane,vehicle,air,pixelated,airplane_00019
noise/airplane/airplane_noise_00005.png,airplane,vehicle,air,noise,airplane_00019
clean/bird/bird_clean_00003.png,bird,animal,air,clean,bird_00020
blur/bird/bird_blur_00003.png,bird,animal,air,blur,bird_00020
pixelated/bird/bird_pixelated_00003.png,bird,animal,air,pixelated,bird_00020
noise/bird/bird_noise_00003.png,bird,animal,air,noise,bird_00020
clean/automobile/automobile_clean_00003.png,automobile,vehicle,land,clean,automobile_00021
blur/automobile/automobile_blur_00003.png,automobile,vehicle,land,blur,automobile_00021
pixelated/automobile/automobile_pixelated_00003.png,automobile,vehicle,land,pixelated,automobile_00021
noise/automobile/automobile_noise_00003.png,automobile,vehicle,land,noise,automobile_00021
clean/ship/ship_clean_00003.png,ship,vehicle,water,clean,ship_00022
blur/ship/ship_blur_00003.png,ship,vehicle,water,blur,ship_00022
pixelated/ship/ship_pixelated_00003.png,ship,vehicle,water,pixelated,ship_00022
noise/ship/ship_noise_00003.png,ship,vehicle,water,noise,ship_00022
clean/frog/frog_clean_00003.png,frog,animal,land,clean,frog_00023
blur/frog/frog_blur_00003.png,frog,animal,land,blur,frog_00023
pixelated/frog/frog_pixelated_00003.png,frog,animal,land,pixelated,frog_00023
noise/frog/frog_noise_00003.png,frog,animal,land,noise,frog_00023
clean/truck/truck_clean_00003.png,truck,vehicle,land,clean,truck_00024
blur/truck/truck_blur_00003.png,truck,vehicle,land,blur,truck_00024
pixelated/truck/truck_pixelated_00003.png,truck,vehicle,land,pixelated,truck_00024
noise/truck/truck_noise_00003.png,truck,vehicle,land,noise,truck_00024
clean/frog/frog_clean_00004.png,frog,animal,land,clean,frog_00025
blur/frog/frog_blur_00004.png,frog,animal,land,blur,frog_00025
pixelated/frog/frog_pixelated_00004.png,frog,animal,land,pixelated,frog_00025
noise/frog/frog_noise_00004.png,frog,animal,land,noise,frog_00025
clean/horse/horse_clean_00004.png,horse,animal,land,clean,horse_00026
blur/horse/horse_blur_00004.png,horse,animal,land,blur,horse_00026
pixelated/horse/horse_pixelated_00004.png,horse,animal,land,pixelated,horse_00026
noise/horse/horse_noise_00004.png,horse,animal,land,noise,horse_00026
clean/frog/frog_clean_00005.png,frog,animal,land,clean,frog_00027
blur/frog/frog_blur_00005.png,frog,animal,land,blur,frog_00027
pixelated/frog/frog_pixelated_00005.png,frog,animal,land,pixelated,frog_00027
noise/frog/frog_noise_00005.png,frog,animal,land,noise,frog_00027
clean/deer/deer_clean_00001.png,deer,animal,land,clean,deer_00028
blur/deer/deer_blur_00001.png,deer,animal,land,blur,deer_00028
pixelated/deer/deer_pixelated_00001.png,deer,animal,land,pixelated,deer_00028
noise/deer/deer_noise_00001.png,deer,animal,land,noise,deer_00028
clean/deer/deer_clean_00002.png,deer,animal,land,clean,deer_00029
blur/deer/deer_blur_00002.png,deer,animal,land,blur,deer_00029
pixelated/deer/deer_pixelated_00002.png,deer,animal,land,pixelated,deer_00029
noise/deer/deer_noise_00002.png,deer,animal,land,noise,deer_00029
clean/dog/dog_clean_00001.png,dog,animal,land,clean,dog_00030
blur/dog/dog_blur_00001.png,dog,animal,land,blur,dog_00030
pixelated/dog/dog_pixelated_00001.png,dog,animal,land,pixelated,dog_00030
noise/dog/dog_noise_00001.png,dog,animal,land,noise,dog_00030
clean/horse/horse_clean_00005.png,horse,animal,land,clean,horse_00031
blur/horse/horse_blur_00005.png,horse,animal,land,blur,horse_00031
pixelated/horse/horse_pixelated_00005.png,horse,animal,land,pixelated,horse_00031
noise/horse/horse_noise_00005.png,horse,animal,land,noise,horse_00031
clean/truck/truck_clean_00004.png,truck,vehicle,land,clean,truck_00032
blur/truck/truck_blur_00004.png,truck,vehicle,land,blur,truck_00032
pixelated/truck/truck_pixelated_00004.png,truck,vehicle,land,pixelated,truck_00032
noise/truck/truck_noise_00004.png,truck,vehicle,land,noise,truck_00032
clean/truck/truck_clean_00005.png,truck,vehicle,land,clean,truck_00033
blur/truck/truck_blur_00005.png,truck,vehicle,land,blur,truck_00033
pixelated/truck/truck_pixelated_00005.png,truck,vehicle,land,pixelated,truck_00033
noise/truck/truck_noise_00005.png,truck,vehicle,land,noise,truck_00033
clean/horse/horse_clean_00006.png,horse,animal,land,clean,horse_00034
blur/horse/horse_blur_00006.png,horse,animal,land,blur,horse_00034
pixelated/horse/horse_pixelated_00006.png,horse,animal,land,pixelated,horse_00034
noise/horse/horse_noise_00006.png,horse,animal,land,noise,horse_00034
clean/bird/bird_clean_00004.png,bird,animal,air,clean,bird_00035
blur/bird/bird_blur_00004.png,bird,animal,air,blur,bird_00035
pixelated/bird/bird_pixelated_00004.png,bird,animal,air,pixelated,bird_00035
noise/bird/bird_noise_00004.png,bird,animal,air,noise,bird_00035
clean/deer/deer_clean_00003.png,deer,animal,land,clean,deer_00036
blur/deer/deer_blur_00003.png,deer,animal,land,blur,deer_00036
pixelated/deer/deer_pixelated_00003.png,deer,animal,land,pixelated,deer_00036
noise/deer/deer_noise_00003.png,deer,animal,land,noise,deer_00036
clean/automobile/automobile_clean_00004.png,automobile,vehicle,land,clean,automobile_00037
blur/automobile/automobile_blur_00004.png,automobile,vehicle,land,blur,automobile_00037
pixelated/automobile/automobile_pixelated_00004.png,automobile,vehicle,land,pixelated,automobile_00037
noise/automobile/automobile_noise_00004.png,automobile,vehicle,land,noise,automobile_00037
clean/horse/horse_clean_00007.png,horse,animal,land,clean,horse_00038
blur/horse/horse_blur_00007.png,horse,animal,land,blur,horse_00038
pixelated/horse/horse_pixelated_00007.png,horse,animal,land,pixelated,horse_00038
noise/horse/horse_noise_00007.png,horse,animal,land,noise,horse_00038
clean/frog/frog_clean_00006.png,frog,animal,land,clean,frog_00039
blur/frog/frog_blur_00006.png,frog,animal,land,blur,frog_00039
pixelated/frog/frog_pixelated_00006.png,frog,animal,land,pixelated,frog_00039
noise/frog/frog_noise_00006.png,frog,animal,land,noise,frog_00039
clean/cat/cat_clean_00002.png,cat,animal,land,clean,cat_00040
blur/cat/cat_blur_00002.png,cat,animal,land,blur,cat_00040
pixelated/cat/cat_pixelated_00002.png,cat,animal,land,pixelated,cat_00040
noise/cat/cat_noise_00002.png,cat,animal,land,noise,cat_00040
clean/cat/cat_clean_00003.png,cat,animal,land,clean,cat_00041
blur/cat/cat_blur_00003.png,cat,animal,land,blur,cat_00041
pixelated/cat/cat_pixelated_00003.png,cat,animal,land,pixelated,cat_00041
noise/cat/cat_noise_00003.png,cat,animal,land,noise,cat_00041
