NoiseLevel,Readout,I_C_Y,I_C_A,NMI_Y,NMI_A
0,identity readout,1.55041896199221,0.888026426170757,0.978907045762427,0.97315337419912
0,action readout,0.88810671085035,0.887312737539645,0.560734832295396,0.972371270785273
0,geometric readout,1.55041896199221,0.888026426170757,0.978907045762427,0.97315337419912
0,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
0,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
0,one category,0,0,0,0
0.2,identity readout,1.53047184946924,0.874705375881106,0.966312792550858,0.958555357005928
0.2,action readout,0.87440180558288,0.873731487545642,0.552081798079023,0.957488110928761
0.2,geometric readout,1.53023851253526,0.874483856638587,0.966165467747493,0.95831260274552
0.2,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
0.2,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
0.2,one category,0,0,0,0
0.4,identity readout,1.46839804713161,0.839612868012396,0.927120494239767,0.92009885229491
0.4,action readout,0.840122664530365,0.838143427346942,0.530438556141454,0.918488549831346
0.4,geometric readout,1.46891138042738,0.839992025158903,0.927444603782006,0.920514355759222
0.4,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
0.4,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
0.4,one category,0,0,0,0
0.6,identity readout,1.35309106837615,0.771067289637151,0.854317712090963,0.844982438057172
0.6,action readout,0.770673669607764,0.768607701813874,0.486589691984441,0.84228707210992
0.6,geometric readout,1.3526272789527,0.770909524865257,0.854024883671353,0.844809549823699
0.6,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
0.6,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
0.6,one category,0,0,0,0
0.8,identity readout,1.18437653496088,0.678411704964143,0.747794346773943,0.74344481236765
0.8,action readout,0.677182843811157,0.67444438814918,0.427561242042853,0.739097185279968
0.8,geometric readout,1.18451715699282,0.67870108462502,0.747883133031871,0.743761932202272
0.8,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
0.8,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
0.8,one category,0,0,0,0
1,identity readout,1.02298921052063,0.594630023036573,0.645897251302208,0.651631749083636
1,action readout,0.594224591893021,0.590897355315363,0.375182872519786,0.647541264745999
1,geometric readout,1.02291515086496,0.594599703223956,0.645850491348592,0.651598522788694
1,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
1,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
1,one category,0,0,0,0
1.2,identity readout,0.861396218865602,0.502204672769481,0.543870301197265,0.550346428260694
1.2,action readout,0.501397584566542,0.497714440049685,0.31657354579163,0.545425758116844
1.2,geometric readout,0.860811041700076,0.502072071448857,0.543500830709354,0.550201115667751
1.2,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
1.2,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
1.2,one category,0,0,0,0
1.4,identity readout,0.725413310551639,0.424863154995812,0.458013103681595,0.46559088859542
1.4,action readout,0.424385325687804,0.420265966721083,0.267949370859193,0.460553010048638
1.4,geometric readout,0.725358559957339,0.424743939132832,0.457978535127008,0.465460244601168
1.4,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
1.4,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
1.4,one category,0,0,0,0
1.6,identity readout,0.60277241748649,0.354552253229581,0.380579818058071,0.388539925605684
1.6,action readout,0.354278272299755,0.350001710171359,0.223685020253586,0.383553163724461
1.6,geometric readout,0.602711493656471,0.354656993676941,0.380541351831894,0.388654706558998
1.6,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
1.6,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
1.6,one category,0,0,0,0
1.8,identity readout,0.510907911059698,0.303256418527503,0.322578197334132,0.332326829743277
1.8,action readout,0.3036241732792,0.299276843396376,0.191702920160941,0.3279657692471
1.8,geometric readout,0.510828113576176,0.303250331655609,0.322527814617738,0.332320159378806
1.8,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
1.8,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
1.8,one category,0,0,0,0
2,identity readout,0.438275043980493,0.263251494156694,0.276719092743203,0.288487000219389
2,action readout,0.263392174386729,0.259643685349265,0.166301149319374,0.284533343874325
2,geometric readout,0.438314620487806,0.263207167126884,0.276744080648283,0.288438423963822
2,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
2,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
2,one category,0,0,0,0
2.2,identity readout,0.372596823808757,0.222057956266296,0.23525102891313,0.243344615700382
2.2,action readout,0.222199827137603,0.218495153874981,0.140293031551098,0.239440280123722
2.2,geometric readout,0.372679522097179,0.222199166999902,0.235303243146311,0.243499363011759
2.2,nuisance category,0.000772713461460486,0.000678527661828903,0.000487877580397488,0.000743571884953417
2.2,random partition,0.000587108032785969,0.000178087884783364,0.000370689603266599,0.000195159536781161
2.2,one category,0,0,0,0
