imagePath,Ysub,Ybasic,A,V,OriginalID
clean/bird/bird_clean_00001.png,bird,animal,air,clean,bird_00001
clean/cat/cat_clean_00001.png,cat,animal,land,clean,cat_00002
clean/frog/frog_clean_00001.png,frog,animal,land,clean,frog_00003
clean/airplane/airplane_clean_00001.png,airplane,vehicle,air,clean,airplane_00004
clean/truck/truck_clean_00001.png,truck,vehicle,land,clean,truck_00005
clean/horse/horse_clean_00001.png,horse,animal,land,clean,horse_00006
clean/horse/horse_clean_00002.png,horse,animal,land,clean,horse_00007
clean/automobile/automobile_clean_00001.png,automobile,vehicle,land,clean,automobile_00008
clean/automobile/automobile_clean_00002.png,automobile,vehicle,land,clean,automobile_00009
clean/ship/ship_clean_00001.png,ship,vehicle,water,clean,ship_00010
clean/bird/bird_clean_00002.png,bird,animal,air,clean,bird_00011
clean/airplane/airplane_clean_00002.png,airplane,vehicle,air,clean,airplane_00012
clean/horse/horse_clean_00003.png,horse,animal,land,clean,horse_00013
clean/truck/truck_clean_00002.png,truck,vehicle,land,clean,truck_00014
clean/airplane/airplane_clean_00003.png,airplane,vehicle,air,clean,airplane_00015
clean/frog/frog_clean_00002.png,frog,animal,land,clean,frog_00016
clean/ship/ship_clean_00002.png,ship,vehicle,water,clean,ship_00017
clean/airplane/airplane_clean_00004.png,airplane,vehicle,air,clean,airplane_00018
clean/airplane/airplane_clean_00005.png,airplane,vehicle,air,clean,airplane_00019
clean/bird/bird_clean_00003.png,bird,animal,air,clean,bird_00020
clean/automobile/automobile_clean_00003.png,automobile,vehicle,land,clean,automobile_00021
clean/ship/ship_clean_00003.png,ship,vehicle,water,clean,ship_00022
clean/frog/frog_clean_00003.png,frog,animal,land,clean,frog_00023
clean/truck/truck_clean_00003.png,truck,vehicle,land,clean,truck_00024
clean/frog/frog_clean_00004.png,frog,animal,land,clean,frog_00025
clean/horse/horse_clean_00004.png,horse,animal,land,clean,horse_00026
clean/frog/frog_clean_00005.png,frog,animal,land,clean,frog_00027
clean/deer/deer_clean_00001.png,deer,animal,land,clean,deer_00028
clean/deer/deer_clean_00002.png,deer,animal,land,clean,deer_00029
clean/dog/dog_clean_00001.png,dog,animal,land,clean,dog_00030
clean/horse/horse_clean_00005.png,horse,animal,land,clean,horse_00031
clean/truck/truck_clean_00004.png,truck,vehicle,land,clean,truck_00032
clean/truck/truck_clean_00005.png,truck,vehicle,land,clean,truck_00033
clean/horse/horse_clean_00006.png,horse,animal,land,clean,horse_00034
clean/bird/bird_clean_00004.png,bird,animal,air,clean,bird_00035
clean/deer/deer_clean_00003.png,deer,animal,land,clean,deer_00036
clean/automobile/automobile_clean_00004.png,automobile,vehicle,land,clean,automobile_00037
clean/horse/horse_clean_00007.png,horse,animal,land,clean,horse_00038
clean/frog/frog_clean_00006.png,frog,animal,land,clean,frog_00039
clean/cat/cat_clean_00002.png,cat,animal,land,clean,cat_00040
clean/cat/cat_clean_00003.png,cat,animal,land,clean,cat_00041
clean/bird/bird_clean_00005.png,bird,animal,air,clean,bird_00042
clean/airplane/airplane_clean_00006.png,airplane,vehicle,air,clean,airplane_00043
clean/truck/truck_clean_00006.png,truck,vehicle,land,clean,truck_00044
clean/automobile/automobile_clean_00005.png,automobile,vehicle,land,clean,automobile_00045
clean/dog/dog_clean_00002.png,dog,animal,land,clean,dog_00046
clean/ship/ship_clean_00004.png,ship,vehicle,water,clean,ship_00047
clean/airplane/airplane_clean_00007.png,airplane,vehicle,air,clean,airplane_00048
clean/bird/bird_clean_00006.png,bird,animal,air,clean,bird_00049
clean/cat/cat_clean_00004.png,cat,animal,land,clean,cat_00050
clean/airplane/airplane_clean_00008.png,airplane,vehicle,air,clean,airplane_00051
clean/airplane/airplane_clean_00009.png,airplane,vehicle,air,clean,airplane_00052
clean/airplane/airplane_clean_00010.png,airplane,vehicle,air,clean,airplane_00053
clean/truck/truck_clean_00007.png,truck,vehicle,land,clean,truck_00054
clean/ship/ship_clean_00005.png,ship,vehicle,water,clean,ship_00055
clean/deer/deer_clean_00004.png,deer,animal,land,clean,deer_00056
clean/cat/cat_clean_00005.png,cat,animal,land,clean,cat_00057
clean/cat/cat_clean_00006.png,cat,animal,land,clean,cat_00058
clean/dog/dog_clean_00003.png,dog,animal,land,clean,dog_00059
clean/bird/bird_clean_00007.png,bird,animal,air,clean,bird_00060
clean/ship/ship_clean_00006.png,ship,vehicle,water,clean,ship_00061
clean/automobile/automobile_clean_00006.png,automobile,vehicle,land,clean,automobile_00062
clean/airplane/airplane_clean_00011.png,airplane,vehicle,air,clean,airplane_00063
clean/truck/truck_clean_00008.png,truck,vehicle,land,clean,truck_00064
clean/bird/bird_clean_00008.png,bird,animal,air,clean,bird_00065
clean/dog/dog_clean_00004.png,dog,animal,land,clean,dog_00066
clean/truck/truck_clean_00009.png,truck,vehicle,land,clean,truck_00067
clean/deer/deer_clean_00005.png,deer,animal,land,clean,deer_00068
clean/automobile/automobile_clean_00007.png,automobile,vehicle,land,clean,automobile_00069
clean/deer/deer_clean_00006.png,deer,animal,land,clean,deer_00070
clean/airplane/airplane_clean_00012.png,airplane,vehicle,air,clean,airplane_00071
clean/bird/bird_clean_00009.png,bird,animal,air,clean,bird_00072
clean/airplane/airplane_clean_00013.png,airplane,vehicle,air,clean,airplane_00073
clean/horse/horse_clean_00008.png,horse,animal,land,clean,horse_00074
clean/bird/bird_clean_00010.png,bird,animal,air,clean,bird_00075
clean/dog/dog_clean_00005.png,dog,animal,land,clean,dog_00076
clean/bird/bird_clean_00011.png,bird,animal,air,clean,bird_00077
clean/dog/dog_clean_00006.png,dog,animal,land,clean,dog_00078
clean/cat/cat_clean_00007.png,cat,animal,land,clean,cat_00079
clean/automobile/automobile_clean_00008.png,automobile,vehicle,land,clean,automobile_00080
clean/cat/cat_clean_00008.png,cat,animal,land,clean,cat_00081
clean/airplane/airplane_clean_00014.png,airplane,vehicle,air,clean,airplane_00082
clean/automobile/automobile_clean_00009.png,automobile,vehicle,land,clean,automobile_00083
clean/deer/deer_clean_00007.png,deer,animal,land,clean,deer_00084
clean/horse/horse_clean_00009.png,horse,animal,land,clean,horse_00085
clean/cat/cat_clean_00009.png,cat,animal,land,clean,cat_00086
clean/automobile/automobile_clean_00010.png,automobile,vehicle,land,clean,automobile_00087
clean/automobile/automobile_clean_00011.png,automobile,vehicle,land,clean,automobile_00088
clean/dog/dog_clean_00007.png,dog,animal,land,clean,dog_00089
clean/ship/ship_clean_00007.png,ship,vehicle,water,clean,ship_00090
clean/cat/cat_clean_00010.png,cat,animal,land,clean,cat_00091
clean/automobile/automobile_clean_00012.png,automobile,vehicle,land,clean,automobile_00092
clean/ship/ship_clean_00008.png,ship,vehicle,water,clean,ship_00093
clean/horse/horse_clean_00010.png,horse,animal,land,clean,horse_00094
clean/bird/bird_clean_00012.png,bird,animal,air,clean,bird_00095
clean/bird/bird_clean_00013.png,bird,animal,air,clean,bird_00096
clean/deer/deer_clean_00008.png,deer,animal,land,clean,deer_00097
clean/bird/bird_clean_00014.png,bird,animal,air,clean,bird_00098
clean/dog/dog_clean_00008.png,dog,animal,land,clean,dog_00099
clean/ship/ship_clean_00009.png,ship,vehicle,water,clean,ship_00100
clean/dog/dog_clean_00009.png,dog,animal,land,clean,dog_00101
clean/deer/deer_clean_00009.png,deer,animal,land,clean,deer_00102
clean/airplane/airplane_clean_00015.png,airplane,vehicle,air,clean,airplane_00103
clean/horse/horse_clean_00011.png,horse,animal,land,clean,horse_00104
clean/horse/horse_clean_00012.png,horse,animal,land,clean,horse_00105
clean/ship/ship_clean_00010.png,ship,vehicle,water,clean,ship_00106
clean/dog/dog_clean_00010.png,dog,animal,land,clean,dog_00107
clean/frog/frog_clean_00007.png,frog,animal,land,clean,frog_00108
clean/horse/horse_clean_00013.png,horse,animal,land,clean,horse_00109
clean/truck/truck_clean_00010.png,truck,vehicle,land,clean,truck_00110
clean/horse/horse_clean_00014.png,horse,animal,land,clean,horse_00111
clean/automobile/automobile_clean_00013.png,automobile,vehicle,land,clean,automobile_00112
clean/horse/horse_clean_00015.png,horse,animal,land,clean,horse_00113
clean/cat/cat_clean_00011.png,cat,animal,land,clean,cat_00114
clean/deer/deer_clean_00010.png,deer,animal,land,clean,deer_00115
clean/automobile/automobile_clean_00014.png,automobile,vehicle,land,clean,automobile_00116
clean/deer/deer_clean_00011.png,deer,animal,land,clean,deer_00117
clean/ship/ship_clean_00011.png,ship,vehicle,water,clean,ship_00118
clean/cat/cat_clean_00012.png,cat,animal,land,clean,cat_00119
clean/airplane/airplane_clean_00016.png,airplane,vehicle,air,clean,airplane_00120
clean/cat/cat_clean_00013.png,cat,animal,land,clean,cat_00121
clean/airplane/airplane_clean_00017.png,airplane,vehicle,air,clean,airplane_00122
clean/frog/frog_clean_00008.png,frog,animal,land,clean,frog_00123
clean/frog/frog_clean_00009.png,frog,animal,land,clean,frog_00124
clean/cat/cat_clean_00014.png,cat,animal,land,clean,cat_00125
clean/automobile/automobile_clean_00015.png,automobile,vehicle,land,clean,automobile_00126
clean/bird/bird_clean_00015.png,bird,animal,air,clean,bird_00127
clean/bird/bird_clean_00016.png,bird,animal,air,clean,bird_00128
clean/automobile/automobile_clean_00016.png,automobile,vehicle,land,clean,automobile_00129
clean/bird/bird_clean_00017.png,bird,animal,air,clean,bird_00130
clean/horse/horse_clean_00016.png,horse,animal,land,clean,horse_00131
clean/airplane/airplane_clean_00018.png,airplane,vehicle,air,clean,airplane_00132
clean/frog/frog_clean_00010.png,frog,animal,land,clean,frog_00133
clean/airplane/airplane_clean_00019.png,airplane,vehicle,air,clean,airplane_00134
clean/deer/deer_clean_00012.png,deer,animal,land,clean,deer_00135
clean/ship/ship_clean_00012.png,ship,vehicle,water,clean,ship_00136
clean/truck/truck_clean_00011.png,truck,vehicle,land,clean,truck_00137
clean/frog/frog_clean_00011.png,frog,animal,land,clean,frog_00138
clean/frog/frog_clean_00012.png,frog,animal,land,clean,frog_00139
clean/deer/deer_clean_00013.png,deer,animal,land,clean,deer_00140
clean/ship/ship_clean_00013.png,ship,vehicle,water,clean,ship_00141
clean/bird/bird_clean_00018.png,bird,animal,air,clean,bird_00142
clean/bird/bird_clean_00019.png,bird,animal,air,clean,bird_00143
clean/truck/truck_clean_00012.png,truck,vehicle,land,clean,truck_00144
clean/bird/bird_clean_00020.png,bird,animal,air,clean,bird_00145
clean/dog/dog_clean_00011.png,dog,animal,land,clean,dog_00146
clean/automobile/automobile_clean_00017.png,automobile,vehicle,land,clean,automobile_00147
clean/frog/frog_clean_00013.png,frog,animal,land,clean,frog_00148
clean/dog/dog_clean_00012.png,dog,animal,land,clean,dog_00149
clean/bird/bird_clean_00021.png,bird,animal,air,clean,bird_00150
clean/ship/ship_clean_00014.png,ship,vehicle,water,clean,ship_00151
clean/ship/ship_clean_00015.png,ship,vehicle,water,clean,ship_00152
clean/deer/deer_clean_00014.png,deer,animal,land,clean,deer_00153
clean/bird/bird_clean_00022.png,bird,animal,air,clean,bird_00154
clean/bird/bird_clean_00023.png,bird,animal,air,clean,bird_00155
clean/horse/horse_clean_00017.png,horse,animal,land,clean,horse_00156
clean/horse/horse_clean_00018.png,horse,animal,land,clean,horse_00157
clean/dog/dog_clean_00013.png,dog,animal,land,clean,dog_00158
clean/bird/bird_clean_00024.png,bird,animal,air,clean,bird_00159
clean/dog/dog_clean_00014.png,dog,animal,land,clean,dog_00160
clean/frog/frog_clean_00014.png,frog,animal,land,clean,frog_00161
clean/cat/cat_clean_00015.png,cat,animal,land,clean,cat_00162
clean/frog/frog_clean_00015.png,frog,animal,land,clean,frog_00163
clean/truck/truck_clean_00013.png,truck,vehicle,land,clean,truck_00164
clean/ship/ship_clean_00016.png,ship,vehicle,water,clean,ship_00165
clean/deer/deer_clean_00015.png,deer,animal,land,clean,deer_00166
clean/horse/horse_clean_00019.png,horse,animal,land,clean,horse_00167
clean/automobile/automobile_clean_00018.png,automobile,vehicle,land,clean,automobile_00168
clean/bird/bird_clean_00025.png,bird,animal,air,clean,bird_00169
clean/truck/truck_clean_00014.png,truck,vehicle,land,clean,truck_00170
clean/automobile/automobile_clean_00019.png,automobile,vehicle,land,clean,automobile_00171
clean/bird/bird_clean_00026.png,bird,animal,air,clean,bird_00172
clean/cat/cat_clean_00016.png,cat,animal,land,clean,cat_00173
clean/airplane/airplane_clean_00020.png,airplane,vehicle,air,clean,airplane_00174
clean/deer/deer_clean_00016.png,deer,animal,land,clean,deer_00175
clean/ship/ship_clean_00017.png,ship,vehicle,water,clean,ship_00176
clean/deer/deer_clean_00017.png,deer,animal,land,clean,deer_00177
clean/bird/bird_clean_00027.png,bird,animal,air,clean,bird_00178
clean/frog/frog_clean_00016.png,frog,animal,land,clean,frog_00179
clean/airplane/airplane_clean_00021.png,airplane,vehicle,air,clean,airplane_00180
clean/ship/ship_clean_00018.png,ship,vehicle,water,clean,ship_00181
clean/cat/cat_clean_00017.png,cat,animal,land,clean,cat_00182
clean/bird/bird_clean_00028.png,bird,animal,air,clean,bird_00183
clean/bird/bird_clean_00029.png,bird,animal,air,clean,bird_00184
clean/automobile/automobile_clean_00020.png,automobile,vehicle,land,clean,automobile_00185
clean/airplane/airplane_clean_00022.png,airplane,vehicle,air,clean,airplane_00186
clean/deer/deer_clean_00018.png,deer,animal,land,clean,deer_00187
clean/airplane/airplane_clean_00023.png,airplane,vehicle,air,clean,airplane_00188
clean/dog/dog_clean_00015.png,dog,animal,land,clean,dog_00189
clean/automobile/automobile_clean_00021.png,automobile,vehicle,land,clean,automobile_00190
clean/bird/bird_clean_00030.png,bird,animal,air,clean,bird_00191
clean/ship/ship_clean_00019.png,ship,vehicle,water,clean,ship_00192
clean/cat/cat_clean_00018.png,cat,animal,land,clean,cat_00193
clean/deer/deer_clean_00019.png,deer,animal,land,clean,deer_00194
clean/dog/dog_clean_00016.png,dog,animal,land,clean,dog_00195
clean/dog/dog_clean_00017.png,dog,animal,land,clean,dog_00196
clean/airplane/airplane_clean_00024.png,airplane,vehicle,air,clean,airplane_00197
clean/deer/deer_clean_00020.png,deer,animal,land,clean,deer_00198
clean/airplane/airplane_clean_00025.png,airplane,vehicle,air,clean,airplane_00199
clean/cat/cat_clean_00019.png,cat,animal,land,clean,cat_00200
clean/frog/frog_clean_00017.png,frog,animal,land,clean,frog_00201
clean/truck/truck_clean_00015.png,truck,vehicle,land,clean,truck_00202
clean/horse/horse_clean_00020.png,horse,animal,land,clean,horse_00203
clean/frog/frog_clean_00018.png,frog,animal,land,clean,frog_00204
clean/truck/truck_clean_00016.png,truck,vehicle,land,clean,truck_00205
clean/cat/cat_clean_00020.png,cat,animal,land,clean,cat_00206
clean/frog/frog_clean_00019.png,frog,animal,land,clean,frog_00207
clean/frog/frog_clean_00020.png,frog,animal,land,clean,frog_00208
clean/dog/dog_clean_00018.png,dog,animal,land,clean,dog_00209
clean/horse/horse_clean_00021.png,horse,animal,land,clean,horse_00210
clean/airplane/airplane_clean_00026.png,airplane,vehicle,air,clean,airplane_00211
clean/airplane/airplane_clean_00027.png,airplane,vehicle,air,clean,airplane_00212
clean/truck/truck_clean_00017.png,truck,vehicle,land,clean,truck_00213
clean/deer/deer_clean_00021.png,deer,animal,land,clean,deer_00214
clean/cat/cat_clean_00021.png,cat,animal,land,clean,cat_00215
clean/horse/horse_clean_00022.png,horse,animal,land,clean,horse_00216
clean/cat/cat_clean_00022.png,cat,animal,land,clean,cat_00217
clean/airplane/airplane_clean_00028.png,airplane,vehicle,air,clean,airplane_00218
clean/frog/frog_clean_00021.png,frog,animal,land,clean,frog_00219
clean/automobile/automobile_clean_00022.png,automobile,vehicle,land,clean,automobile_00220
clean/airplane/airplane_clean_00029.png,airplane,vehicle,air,clean,airplane_00221
clean/bird/bird_clean_00031.png,bird,animal,air,clean,bird_00222
clean/airplane/airplane_clean_00030.png,airplane,vehicle,air,clean,airplane_00223
clean/cat/cat_clean_00023.png,cat,animal,land,clean,cat_00224
clean/bird/bird_clean_00032.png,bird,animal,air,clean,bird_00225
clean/automobile/automobile_clean_00023.png,automobile,vehicle,land,clean,automobile_00226
clean/deer/deer_clean_00022.png,deer,animal,land,clean,deer_00227
clean/truck/truck_clean_00018.png,truck,vehicle,land,clean,truck_00228
clean/automobile/automobile_clean_00024.png,automobile,vehicle,land,clean,automobile_00229
clean/horse/horse_clean_00023.png,horse,animal,land,clean,horse_00230
clean/dog/dog_clean_00019.png,dog,animal,land,clean,dog_00231
clean/deer/deer_clean_00023.png,deer,animal,land,clean,deer_00232
clean/truck/truck_clean_00019.png,truck,vehicle,land,clean,truck_00233
clean/airplane/airplane_clean_00031.png,airplane,vehicle,air,clean,airplane_00234
clean/bird/bird_clean_00033.png,bird,animal,air,clean,bird_00235
clean/airplane/airplane_clean_00032.png,airplane,vehicle,air,clean,airplane_00236
clean/bird/bird_clean_00034.png,bird,animal,air,clean,bird_00237
clean/cat/cat_clean_00024.png,cat,animal,land,clean,cat_00238
clean/deer/deer_clean_00024.png,deer,animal,land,clean,deer_00239
clean/truck/truck_clean_00020.png,truck,vehicle,land,clean,truck_00240
clean/frog/frog_clean_00022.png,frog,animal,land,clean,frog_00241
clean/dog/dog_clean_00020.png,dog,animal,land,clean,dog_00242
clean/dog/dog_clean_00021.png,dog,animal,land,clean,dog_00243
clean/airplane/airplane_clean_00033.png,airplane,vehicle,air,clean,airplane_00244
clean/ship/ship_clean_00020.png,ship,vehicle,water,clean,ship_00245
clean/horse/horse_clean_00024.png,horse,animal,land,clean,horse_00246
clean/frog/frog_clean_00023.png,frog,animal,land,clean,frog_00247
clean/dog/dog_clean_00022.png,dog,animal,land,clean,dog_00248
clean/deer/deer_clean_00025.png,deer,animal,land,clean,deer_00249
clean/deer/deer_clean_00026.png,deer,animal,land,clean,deer_00250
clean/cat/cat_clean_00025.png,cat,animal,land,clean,cat_00251
clean/bird/bird_clean_00035.png,bird,animal,air,clean,bird_00252
clean/cat/cat_clean_00026.png,cat,animal,land,clean,cat_00253
clean/horse/horse_clean_00025.png,horse,animal,land,clean,horse_00254
clean/ship/ship_clean_00021.png,ship,vehicle,water,clean,ship_00255
clean/cat/cat_clean_00027.png,cat,animal,land,clean,cat_00256
clean/bird/bird_clean_00036.png,bird,animal,air,clean,bird_00257
clean/cat/cat_clean_00028.png,cat,animal,land,clean,cat_00258
clean/bird/bird_clean_00037.png,bird,animal,air,clean,bird_00259
clean/truck/truck_clean_00021.png,truck,vehicle,land,clean,truck_00260
clean/automobile/automobile_clean_00025.png,automobile,vehicle,land,clean,automobile_00261
clean/horse/horse_clean_00026.png,horse,animal,land,clean,horse_00262
clean/truck/truck_clean_00022.png,truck,vehicle,land,clean,truck_00263
