imagePath,Ysub,Ybasic,A,V,OriginalID
clean/bird/bird_clean_00001.png,bird,animal,air,clean,bird_00001
blur/bird/bird_blur_00001.png,bird,animal,air,blur,bird_00001
pixelated/bird/bird_pixelated_00001.png,bird,animal,air,pixelated,bird_00001
noise/bird/bird_noise_00001.png,bird,animal,air,noise,bird_00001
clean/truck/truck_clean_00001.png,truck,vehicle,land,clean,truck_00002
blur/truck/truck_blur_00001.png,truck,vehicle,land,blur,truck_00002
pixelated/truck/truck_pixelated_00001.png,truck,vehicle,land,pixelated,truck_00002
noise/truck/truck_noise_00001.png,truck,vehicle,land,noise,truck_00002
clean/dog/dog_clean_00001.png,dog,animal,land,clean,dog_00003
blur/dog/dog_blur_00001.png,dog,animal,land,blur,dog_00003
pixelated/dog/dog_pixelated_00001.png,dog,animal,land,pixelated,dog_00003
noise/dog/dog_noise_00001.png,dog,animal,land,noise,dog_00003
clean/airplane/airplane_clean_00001.png,airplane,vehicle,air,clean,airplane_00004
blur/airplane/airplane_blur_00001.png,airplane,vehicle,air,blur,airplane_00004
pixelated/airplane/airplane_pixelated_00001.png,airplane,vehicle,air,pixelated,airplane_00004
noise/airplane/airplane_noise_00001.png,airplane,vehicle,air,noise,airplane_00004
clean/dog/dog_clean_00002.png,dog,animal,land,clean,dog_00005
blur/dog/dog_blur_00002.png,dog,animal,land,blur,dog_00005
pixelated/dog/dog_pixelated_00002.png,dog,animal,land,pixelated,dog_00005
noise/dog/dog_noise_00002.png,dog,animal,land,noise,dog_00005
clean/ship/ship_clean_00001.png,ship,vehicle,water,clean,ship_00006
blur/ship/ship_blur_00001.png,ship,vehicle,water,blur,ship_00006
pixelated/ship/ship_pixelated_00001.png,ship,vehicle,water,pixelated,ship_00006
noise/ship/ship_noise_00001.png,ship,vehicle,water,noise,ship_00006
clean/truck/truck_clean_00002.png,truck,vehicle,land,clean,truck_00007
blur/truck/truck_blur_00002.png,truck,vehicle,land,blur,truck_00007
pixelated/truck/truck_pixelated_00002.png,truck,vehicle,land,pixelated,truck_00007
noise/truck/truck_noise_00002.png,truck,vehicle,land,noise,truck_00007
clean/dog/dog_clean_00003.png,dog,animal,land,clean,dog_00008
blur/dog/dog_blur_00003.png,dog,animal,land,blur,dog_00008
pixelated/dog/dog_pixelated_00003.png,dog,animal,land,pixelated,dog_00008
noise/dog/dog_noise_00003.png,dog,animal,land,noise,dog_00008
clean/automobile/automobile_clean_00001.png,automobile,vehicle,land,clean,automobile_00009
blur/automobile/automobile_blur_00001.png,automobile,vehicle,land,blur,automobile_00009
pixelated/automobile/automobile_pixelated_00001.png,automobile,vehicle,land,pixelated,automobile_00009
noise/automobile/automobile_noise_00001.png,automobile,vehicle,land,noise,automobile_00009
clean/frog/frog_clean_00001.png,frog,animal,land,clean,frog_00010
blur/frog/frog_blur_00001.png,frog,animal,land,blur,frog_00010
pixelated/frog/frog_pixelated_00001.png,frog,animal,land,pixelated,frog_00010
noise/frog/frog_noise_00001.png,frog,animal,land,noise,frog_00010
clean/deer/deer_clean_00001.png,deer,animal,land,clean,deer_00011
blur/deer/deer_blur_00001.png,deer,animal,land,blur,deer_00011
pixelated/deer/deer_pixelated_00001.png,deer,animal,land,pixelated,deer_00011
noise/deer/deer_noise_00001.png,deer,animal,land,noise,deer_00011
clean/automobile/automobile_clean_00002.png,automobile,vehicle,land,clean,automobile_00012
blur/automobile/automobile_blur_00002.png,automobile,vehicle,land,blur,automobile_00012
pixelated/automobile/automobile_pixelated_00002.png,automobile,vehicle,land,pixelated,automobile_00012
noise/automobile/automobile_noise_00002.png,automobile,vehicle,land,noise,automobile_00012
clean/bird/bird_clean_00002.png,bird,animal,air,clean,bird_00013
blur/bird/bird_blur_00002.png,bird,animal,air,blur,bird_00013
pixelated/bird/bird_pixelated_00002.png,bird,animal,air,pixelated,bird_00013
noise/bird/bird_noise_00002.png,bird,animal,air,noise,bird_00013
clean/dog/dog_clean_00004.png,dog,animal,land,clean,dog_00014
blur/dog/dog_blur_00004.png,dog,animal,land,blur,dog_00014
pixelated/dog/dog_pixelated_00004.png,dog,animal,land,pixelated,dog_00014
noise/dog/dog_noise_00004.png,dog,animal,land,noise,dog_00014
clean/horse/horse_clean_00001.png,horse,animal,land,clean,horse_00015
blur/horse/horse_blur_00001.png,horse,animal,land,blur,horse_00015
pixelated/horse/horse_pixelated_00001.png,horse,animal,land,pixelated,horse_00015
noise/horse/horse_noise_00001.png,horse,animal,land,noise,horse_00015
clean/airplane/airplane_clean_00002.png,airplane,vehicle,air,clean,airplane_00016
blur/airplane/airplane_blur_00002.png,airplane,vehicle,air,blur,airplane_00016
pixelated/airplane/airplane_pixelated_00002.png,airplane,vehicle,air,pixelated,airplane_00016
noise/airplane/airplane_noise_00002.png,airplane,vehicle,air,noise,airplane_00016
clean/truck/truck_clean_00003.png,truck,vehicle,land,clean,truck_00017
blur/truck/truck_blur_00003.png,truck,vehicle,land,blur,truck_00017
pixelated/truck/truck_pixelated_00003.png,truck,vehicle,land,pixelated,truck_00017
noise/truck/truck_noise_00003.png,truck,vehicle,land,noise,truck_00017
clean/airplane/airplane_clean_00003.png,airplane,vehicle,air,clean,airplane_00018
blur/airplane/airplane_blur_00003.png,airplane,vehicle,air,blur,airplane_00018
pixelated/airplane/airplane_pixelated_00003.png,airplane,vehicle,air,pixelated,airplane_00018
noise/airplane/airplane_noise_00003.png,airplane,vehicle,air,noise,airplane_00018
clean/automobile/automobile_clean_00003.png,automobile,vehicle,land,clean,automobile_00019
blur/automobile/automobile_blur_00003.png,automobile,vehicle,land,blur,automobile_00019
pixelated/automobile/automobile_pixelated_00003.png,automobile,vehicle,land,pixelated,automobile_00019
noise/automobile/automobile_noise_00003.png,automobile,vehicle,land,noise,automobile_00019
clean/dog/dog_clean_00005.png,dog,animal,land,clean,dog_00020
blur/dog/dog_blur_00005.png,dog,animal,land,blur,dog_00020
pixelated/dog/dog_pixelated_00005.png,dog,animal,land,pixelated,dog_00020
noise/dog/dog_noise_00005.png,dog,animal,land,noise,dog_00020
clean/ship/ship_clean_00002.png,ship,vehicle,water,clean,ship_00021
blur/ship/ship_blur_00002.png,ship,vehicle,water,blur,ship_00021
pixelated/ship/ship_pixelated_00002.png,ship,vehicle,water,pixelated,ship_00021
noise/ship/ship_noise_00002.png,ship,vehicle,water,noise,ship_00021
clean/truck/truck_clean_00004.png,truck,vehicle,land,clean,truck_00022
blur/truck/truck_blur_00004.png,truck,vehicle,land,blur,truck_00022
pixelated/truck/truck_pixelated_00004.png,truck,vehicle,land,pixelated,truck_00022
noise/truck/truck_noise_00004.png,truck,vehicle,land,noise,truck_00022
clean/dog/dog_clean_00006.png,dog,animal,land,clean,dog_00023
blur/dog/dog_blur_00006.png,dog,animal,land,blur,dog_00023
pixelated/dog/dog_pixelated_00006.png,dog,animal,land,pixelated,dog_00023
noise/dog/dog_noise_00006.png,dog,animal,land,noise,dog_00023
clean/bird/bird_clean_00003.png,bird,animal,air,clean,bird_00024
blur/bird/bird_blur_00003.png,bird,animal,air,blur,bird_00024
pixelated/bird/bird_pixelated_00003.png,bird,animal,air,pixelated,bird_00024
noise/bird/bird_noise_00003.png,bird,animal,air,noise,bird_00024
clean/cat/cat_clean_00001.png,cat,animal,land,clean,cat_00025
blur/cat/cat_blur_00001.png,cat,animal,land,blur,cat_00025
pixelated/cat/cat_pixelated_00001.png,cat,animal,land,pixelated,cat_00025
noise/cat/cat_noise_00001.png,cat,animal,land,noise,cat_00025
clean/horse/horse_clean_00002.png,horse,animal,land,clean,horse_00026
blur/horse/horse_blur_00002.png,horse,animal,land,blur,horse_00026
pixelated/horse/horse_pixelated_00002.png,horse,animal,land,pixelated,horse_00026
noise/horse/horse_noise_00002.png,horse,animal,land,noise,horse_00026
clean/cat/cat_clean_00002.png,cat,animal,land,clean,cat_00027
blur/cat/cat_blur_00002.png,cat,animal,land,blur,cat_00027
pixelated/cat/cat_pixelated_00002.png,cat,animal,land,pixelated,cat_00027
noise/cat/cat_noise_00002.png,cat,animal,land,noise,cat_00027
clean/frog/frog_clean_00002.png,frog,animal,land,clean,frog_00028
blur/frog/frog_blur_00002.png,frog,animal,land,blur,frog_00028
pixelated/frog/frog_pixelated_00002.png,frog,animal,land,pixelated,frog_00028
noise/frog/frog_noise_00002.png,frog,animal,land,noise,frog_00028
clean/cat/cat_clean_00003.png,cat,animal,land,clean,cat_00029
blur/cat/cat_blur_00003.png,cat,animal,land,blur,cat_00029
pixelated/cat/cat_pixelated_00003.png,cat,animal,land,pixelated,cat_00029
noise/cat/cat_noise_00003.png,cat,animal,land,noise,cat_00029
clean/frog/frog_clean_00003.png,frog,animal,land,clean,frog_00030
blur/frog/frog_blur_00003.png,frog,animal,land,blur,frog_00030
pixelated/frog/frog_pixelated_00003.png,frog,animal,land,pixelated,frog_00030
noise/frog/frog_noise_00003.png,frog,animal,land,noise,frog_00030
clean/ship/ship_clean_00003.png,ship,vehicle,water,clean,ship_00031
blur/ship/ship_blur_00003.png,ship,vehicle,water,blur,ship_00031
pixelated/ship/ship_pixelated_00003.png,ship,vehicle,water,pixelated,ship_00031
noise/ship/ship_noise_00003.png,ship,vehicle,water,noise,ship_00031
clean/cat/cat_clean_00004.png,cat,animal,land,clean,cat_00032
blur/cat/cat_blur_00004.png,cat,animal,land,blur,cat_00032
pixelated/cat/cat_pixelated_00004.png,cat,animal,land,pixelated,cat_00032
noise/cat/cat_noise_00004.png,cat,animal,land,noise,cat_00032
clean/automobile/automobile_clean_00004.png,automobile,vehicle,land,clean,automobile_00033
blur/automobile/automobile_blur_00004.png,automobile,vehicle,land,blur,automobile_00033
pixelated/automobile/automobile_pixelated_00004.png,automobile,vehicle,land,pixelated,automobile_00033
noise/automobile/automobile_noise_00004.png,automobile,vehicle,land,noise,automobile_00033
clean/airplane/airplane_clean_00004.png,airplane,vehicle,air,clean,airplane_00034
blur/airplane/airplane_blur_00004.png,airplane,vehicle,air,blur,airplane_00034
pixelated/airplane/airplane_pixelated_00004.png,airplane,vehicle,air,pixelated,airplane_00034
noise/airplane/airplane_noise_00004.png,airplane,vehicle,air,noise,airplane_00034
clean/dog/dog_clean_00007.png,dog,animal,land,clean,dog_00035
blur/dog/dog_blur_00007.png,dog,animal,land,blur,dog_00035
pixelated/dog/dog_pixelated_00007.png,dog,animal,land,pixelated,dog_00035
noise/dog/dog_noise_00007.png,dog,animal,land,noise,dog_00035
clean/deer/deer_clean_00002.png,deer,animal,land,clean,deer_00036
blur/deer/deer_blur_00002.png,deer,animal,land,blur,deer_00036
pixelated/deer/deer_pixelated_00002.png,deer,animal,land,pixelated,deer_00036
noise/deer/deer_noise_00002.png,deer,animal,land,noise,deer_00036
clean/horse/horse_clean_00003.png,horse,animal,land,clean,horse_00037
blur/horse/horse_blur_00003.png,horse,animal,land,blur,horse_00037
pixelated/horse/horse_pixelated_00003.png,horse,animal,land,pixelated,horse_00037
noise/horse/horse_noise_00003.png,horse,animal,land,noise,horse_00037
clean/airplane/airplane_clean_00005.png,airplane,vehicle,air,clean,airplane_00038
blur/airplane/airplane_blur_00005.png,airplane,vehicle,air,blur,airplane_00038
pixelated/airplane/airplane_pixelated_00005.png,airplane,vehicle,air,pixelated,airplane_00038
noise/airplane/airplane_noise_00005.png,airplane,vehicle,air,noise,airplane_00038
clean/cat/cat_clean_00005.png,cat,animal,land,clean,cat_00039
blur/cat/cat_blur_00005.png,cat,animal,land,blur,cat_00039
pixelated/cat/cat_pixelated_00005.png,cat,animal,land,pixelated,cat_00039
noise/cat/cat_noise_00005.png,cat,animal,land,noise,cat_00039
clean/automobile/automobile_clean_00005.png,automobile,vehicle,land,clean,automobile_00040
blur/automobile/automobile_blur_00005.png,automobile,vehicle,land,blur,automobile_00040
pixelated/automobile/automobile_pixelated_00005.png,automobile,vehicle,land,pixelated,automobile_00040
noise/automobile/automobile_noise_00005.png,automobile,vehicle,land,noise,automobile_00040
clean/cat/cat_clean_00006.png,cat,animal,land,clean,cat_00041
blur/cat/cat_blur_00006.png,cat,animal,land,blur,cat_00041
pixelated/cat/cat_pixelated_00006.png,cat,animal,land,pixelated,cat_00041
